"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"3. ispitni rok - bodovi";"3. ispitni rok - prolaz";"3. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"21de1e6b";"";"";"";10;"";"2019-12-04";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"22797098";70.31;4.0;"2020-07-06";16;"";"2019-12-04";0.0;"";"2019-11-11";70.31;"DA ";"2020-07-06";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"227cd1b0";45.0;2.0;"2020-02-03";45;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"22d7f3bb";57.0;3.0;"2020-02-03";57;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"231f8bb0";45.31;2.0;"2020-02-17";35;"";"2020-02-10";45.31;"DA ";"2020-02-19";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"23689643";72.0;4.0;"2020-02-03";72;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"239973a0";45.0;2.0;"2020-02-03";45;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"23cb06c3";47.0;2.0;"2020-02-03";47;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"240feaae";50.0;2.0;"2020-02-03";50;"DA ";"2020-02-10";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
"2430da43";"";"";"";0;"";"2019-09-24";0.0;"";"2019-11-11";0.0;"";"2020-06-02";0.0;"";"2020-06-02";0;"";"2020-06-02";0.0;"";"2020-09-09"
