"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok (ljetni) - bodovi";"2. ispitni rok (ljetni) - prolaz";"2. ispitni rok (ljetni) - vrijeme";"2. ispitni rok (jesenski) - bodovi";"2. ispitni rok (jesenski) - prolaz";"2. ispitni rok (jesenski) - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"26cd46e8";58.0;3.0;"2021-02-01";58;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"26fa5cb9";"";"";"";28;"";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"272f9174";45.3125;2.0;"2021-02-15";33;"";"2021-02-09";45.3125;"DA ";"2021-02-18";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"2744a042";85.0;5.0;"2021-02-01";85;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"278ee855";"";"";"";0;"";"2021-02-09";7.8125;"";"2021-02-18";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"27ce0039";85.0;5.0;"2021-02-01";85;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"27cf0b88";70.0;4.0;"2021-02-01";70;"DA ";"2021-02-10";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"27fcf452";84.0;4.0;"2021-02-01";84;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
"288e729c";"";"";"";32;"";"2021-02-09";26.5625;"";"2021-02-18";0.0;"";"2021-04-13";19;"";"2021-09-10";23;"";"2021-09-15"
"28bbede9";81.0;4.0;"2021-02-01";81;"DA ";"2021-02-09";0.0;"";"2020-11-06";0.0;"";"2021-04-13";0;"";"2021-04-13";0;"";"2021-09-10"
