"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"Zimski rok - bodovi";"Zimski rok - prolaz";"Zimski rok - vrijeme";"Ljetni rok - bodovi";"Ljetni rok - prolaz";"Ljetni rok - vrijeme";"Jesenski rok (1) - bodovi";"Jesenski rok (1) - prolaz";"Jesenski rok (1) - vrijeme";"Jesenski rok (2) - bodovi";"Jesenski rok (2) - prolaz";"Jesenski rok (2) - vrijeme"
"0ae1c277";50.0;2.0;"2025-02-24";27;"";"2025-02-19";50.0;"DA ";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0b37f59d";"";"";"";31;"";"2025-02-19";15.0;"";"2025-03-03";0.0;"";"2024-09-25";3.33;"";"2025-09-03";0.0;"";"2024-09-25"
"0b776fb8";58.0;3.0;"2025-02-10";58;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0b925c7d";63.0;3.0;"2025-02-10";63;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0bb58139";58.3;3.0;"2025-09-09";45;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";36.67;"";"2025-09-03";58.3;"DA ";"2025-09-16"
"0bb6a4e7";59.0;3.0;"2025-02-10";59;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0c6eaac8";72.0;4.0;"2025-02-10";72;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0c833a3e";58.33;3.0;"2025-02-24";38;"";"2025-02-19";58.33;"DA ";"2025-03-06";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0cdbc10e";57.0;2.0;"2025-02-10";57;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0d1afa23";"";"";"";18;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0d5ce24b";98.0;5.0;"2025-02-10";98;"DA ";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0dcccb3c";"";"";"";0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
"0e2fa8ac";"";"";"";8;"";"2025-02-19";0.0;"";"2024-09-25";0.0;"";"2024-09-25";28.33;"";"2025-09-03";41.7;"";"2025-09-16"
"0e422bc0";70.0;3.0;"2025-09-09";33;"";"2025-02-19";43.33;"";"2025-03-03";28.33;"";"2025-07-11";31.67;"";"2025-09-03";70.0;"DA ";"2025-09-16"
"0e45fbf2";51.67;2.0;"2025-02-24";46;"";"2025-02-19";51.67;"DA ";"2025-03-03";0.0;"";"2024-09-25";0.0;"";"2024-09-25";0.0;"";"2024-09-25"
