"id";"ISVU Bodovi";"ISVU Ocjena";"ISVU Rok";"Kontinuirana nastava - bodovi";"Kontinuirana nastava - prolaz";"Kontinuirana nastava - vrijeme";"1. ispitni rok - bodovi";"1. ispitni rok - prolaz";"1. ispitni rok - vrijeme";"2. ispitni rok - bodovi";"2. ispitni rok - prolaz";"2. ispitni rok - vrijeme";"Dekanski rok - bodovi";"Dekanski rok - prolaz";"Dekanski rok - vrijeme"
"3cd2bc18";89.0;5.0;"2021-06-28";89.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3d12df31";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3d544473";59.0;3.0;"2021-06-28";59.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3d8918c2";77.0;4.0;"2021-06-28";77.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3d9c4a71";62.0;3.0;"2021-06-28";62.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3dac06b7";57.0;3.0;"2021-06-28";57.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3db1a058";"";"";"";7.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3e69e3c7";"";"";"";41.0;"";"2021-07-06";11.7;"";"2021-07-15";0.0;"";"2021-04-13";13.3;"";"2021-09-15"
"3e70169c";56.7;3.0;"2021-09-06";32.0;"";"2021-07-06";40.0;"";"2021-07-18";56.7;"DA";"2021-09-10";0.0;"";"2021-09-10"
"3ef2d666";76.0;4.0;"2021-06-28";76.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3f0259e7";"";"";"";20.0;"";"2021-05-17";21.7;"";"2021-07-15";25.0;"";"2021-09-10";0.0;"";"2021-09-10"
"3f4d7288";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3f60d83b";46.0;2.0;"2021-06-28";46.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3fd58862";46.0;2.0;"2021-06-28";46.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3fe7863f";63.0;3.0;"2021-06-28";63.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"3ff6a3c1";45.0;2.0;"2021-09-06";43.0;"";"2021-07-08";31.7;"";"2021-07-15";45.0;"DA";"2021-09-12";0.0;"";"2021-09-10"
"403764ba";"";"";"";12.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"41926241";66.7;3.0;"2021-09-14";39.0;"";"2021-07-06";33.3;"";"2021-07-15";38.3;"";"2021-09-10";66.7;"DA";"2021-09-15"
"41972bdf";53.0;2.0;"2021-06-28";53.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"419bb32f";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";20.0;"";"2021-09-10";0.0;"";"2021-09-10"
"41a7e513";80.0;4.0;"2021-06-28";80.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"42673e61";"";"";"";9.0;"";"2021-05-11";0.0;"";"2021-04-13";5.0;"";"2021-09-10";0.0;"";"2021-09-10"
"42eb2f1c";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"43326157";48.0;2.0;"2021-06-28";48.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"434de556";46.0;2.0;"2021-06-28";46.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"43514f70";53.0;2.0;"2021-06-28";53.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"43624752";49.0;2.0;"2021-06-28";49.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"43698f57";48.3;2.0;"2021-09-06";1.0;"";"2021-05-11";0.0;"";"2021-04-13";48.3;"DA";"2021-09-10";0.0;"";"2021-09-10"
"437c298a";"";"";"";3.0;"";"2021-07-06";0.0;"";"2021-04-13";10.0;"";"2021-09-10";0.0;"";"2021-09-10"
"439e0c59";84.0;4.0;"2021-06-28";84.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"43df46c4";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"44199a94";49.0;2.0;"2021-06-28";49.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"446a76b0";58.0;3.0;"2021-06-28";58.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"447ae6cb";"";"";"";0.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"4493ce57";50.0;2.0;"2021-09-14";30.0;"";"2021-07-06";25.0;"";"2021-07-15";31.7;"";"2021-09-10";50.0;"DA";"2021-09-15"
"44b8794a";"";"";"";2.0;"";"2021-05-11";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"44c69286";50.0;2.0;"2021-06-28";50.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"44d44f80";83.0;4.0;"2021-06-28";83.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"45406af3";56.0;3.0;"2021-06-28";56.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
"462dba8f";59.0;3.0;"2021-06-28";59.0;"DA";"2021-07-06";0.0;"";"2021-04-13";0.0;"";"2021-04-13";0.0;"";"2021-09-10"
